Name,EAR_Threshold,MAR_Threshold
galang,0.19051091979817583,8.822517805675009
lolo,0.1857709182209695,8.953003286941428
caca,0.11211546501675136,10.165928079444033
coco,0.11390492882963515,9.849182205628116
kika,0.1471264641571822,12.776197312290368
jinja,0.14920194650478655,9.735612497197422
kyto,0.1399667514130357,13.547684866959093
baba,0.13439066861884638,12.447598000614377
akak,0.13610069513200335,12.29889088441073
po,0.1282303285024696,12.952643902885338
cc,0.735895162860756,9.588165509431825
ss,0.13952470646778092,12.186613731572221
babayo,0.14078289919023304,12.81067220981159
jasmin,0.11474731018476347,12.376334806251398
mahesa,0.10977253898378969,12.542662286535803
